CountyCode,Mean_Target
0.0,9.306709635367625
1.0,5.294117647058823
3.0,4.44
5.0,6.285714285714286
7.0,7.1922586061716265
9.0,4.181513598738667
11.0,8.454545454545455
13.0,8.096727060198715
15.0,5.266666666666667
17.0,4.364426229508197
19.0,2.0
21.0,6.730373388634249
23.0,6.372589129164232
25.0,4.9932787843366455
27.0,2.183921209344938
29.0,7.190476190476191
31.0,7.614814814814815
33.0,1.75
35.0,4.354838709677419
37.0,7.818181818181818
39.0,6.588235294117647
41.0,12.16
43.0,6.2
45.0,2.1818181818181817
47.0,3.0
49.0,8.181818181818182
53.0,7.522916666666666
55.0,3.6666666666666665
57.0,1.0
59.0,33.0
61.0,4.6
63.0,5.25
65.0,8.5
67.0,6.0
69.0,8.666666666666666
71.0,11.823076923076924
73.0,11.333333333333334
75.0,7.0
77.0,9.333333333333334
79.0,6.861985472154964
81.0,13.856922398589065
83.0,2.0
85.0,3.0
87.0,8.333333333333334
89.0,8.594444444444445
91.0,2.2222222222222223
93.0,4.375
95.0,2.6666666666666665
97.0,5.666666666666667
99.0,9.181818181818182
101.0,14.0
103.0,3.125
105.0,12.0
107.0,1.5
109.0,3.5
111.0,4.0
113.0,10.25
115.0,8.5
117.0,22.0
119.0,7.2
121.0,11.0
123.0,6.0
125.0,8.125
127.0,3.0
129.0,3.0
131.0,8.75
133.0,6.363636363636363
135.0,3.0
137.0,7.0
139.0,5.75
141.0,1.6666666666666667
143.0,7.0
145.0,7.25
147.0,11.5
149.0,2.0
151.0,11.25
153.0,11.166666666666666
155.0,14.99074074074074
157.0,0.5
161.0,21.333333333333332
163.0,8.851635514018692
165.0,2.0
167.0,0.0
169.0,5.5
173.0,16.416347606782235
215.0,6.882352941176471
510.0,14.25
570.0,1.0
590.0,17.0
630.0,12.0
660.0,9.0
670.0,18.5
683.0,6.0
690.0,9.0
730.0,8.0
735.0,2.0
740.0,0.0
750.0,7.0
770.0,3.0
775.0,9.0
790.0,2.0
800.0,13.0
820.0,3.0
830.0,1.0
840.0,7.0
