Feature,Importance
burglaries,0.2650393420554259
larcenies,0.1101498862511871
encoded_state,0.07424050460229824
rapes,0.036415004590743885
encoded_county,0.013443733698037301
population,0.012841511806499874
NumInShelters,0.009440435444777236
PctVacantBoarded,0.009303205813449393
NumKindsDrugsSeiz,0.009024890183325435
PctEmplManu,0.008638912100408487
PctVacMore6Mos,0.007694886768021443
racePctHisp,0.0076317104047531744
numbUrban,0.007321674131378284
PctPolicAsian,0.007082889227464359
PctSameCity85,0.006936975226519168
PctWOFullPlumb,0.006888652390592912
assaults,0.006780116442121642
pctWFarmSelf,0.006548162935674069
RacialMatchCommPol,0.006443782300710572
NumKidsBornNeverMar,0.006238030095047044
