Feature,Importance
burglaries,0.41181910910341685
robberies,0.10344628035545929
NumKidsBornNeverMar,0.09684026886420853
encoded_state,0.03263713200707665
rapes,0.016254657578778274
HousVacant,0.012952598450080873
NumUnderPov,0.01143019761061445
LandArea,0.008074911430746328
arsons,0.008036883726489072
racePctWhite,0.00735990535074138
autoTheft,0.007310680684756417
PctNotSpeakEnglWell,0.00616979501428421
larcenies,0.006036094784116921
NumInShelters,0.00592435823209602
encoded_county,0.005747958489302801
pctWInvInc,0.005129433020372198
PctHousOccup,0.004663000562431135
pctWWage,0.004414891302649228
pctWPubAsst,0.00426852026246832
numbUrban,0.004150852846936629
