Feature,Importance
robberies,0.618750178229979
NumImmig,0.06411784160888673
numbUrban,0.03613361147148943
burglaries,0.030788272249175883
larcenies,0.014838770852511276
population,0.009075047113223307
PctSameHouse85,0.006726153037401902
PctEmplProfServ,0.0045766595191094935
HousVacant,0.003820083716623952
PctSameState85,0.0036846041578305986
PctSameCity85,0.0035560352520669367
TotalPctDiv,0.0034608835937258104
encoded_county,0.0034340116989543166
PctUsePubTrans,0.0032723693064511962
PctForeignBorn,0.0032678987839031646
NumKindsDrugsSeiz,0.0032287927040376275
blackPerCap,0.003162725094435937
FemalePctDiv,0.0031251137029476546
PctBornSameState,0.0029741344478673285
PctPolicBlack,0.002866694505130192
