Feature,Importance
larcenies,0.4737992499153427
robberies,0.27119287160003597
assaults,0.0386116830019521
HousVacant,0.024709109087678434
autoTheft,0.012194280531708653
NumUnderPov,0.011532435447004781
population,0.011123620116988253
NumKidsBornNeverMar,0.00694135785589379
LandArea,0.004848878594623027
encoded_county,0.00478054343033184
murders,0.0034364306204464233
PctPersDenseHous,0.0033613535934565878
MedRentPctHousInc,0.003314549667122407
numbUrban,0.003254345718158355
PctHousOccup,0.003239937208896728
encoded_state,0.002968917482652651
arsons,0.002798374117432432
MedOwnCostPctInc,0.002752789424795931
PctHousNoPhone,0.0025533123023100983
pctWFarmSelf,0.002148380317148158
