Feature,Importance
burglaries,0.6444448237104722
population,0.06299523095867163
numbUrban,0.031590439849719286
rapes,0.017319171715735077
autoTheft,0.009090328467545596
LandArea,0.006973086683384903
OwnOccHiQuart,0.006258483315456935
NumUnderPov,0.005922868461767279
NumInShelters,0.005452622498723372
robberies,0.005371993157453831
MedOwnCostPctInc,0.005132813926044104
OwnOccLowQuart,0.003960395326879244
RentQrange,0.003844063027732196
HousVacant,0.0036341937906312393
MedRentPctHousInc,0.0035466581426868895
PctImmigRec10,0.0034577140660700884
OwnOccMedVal,0.003402463882620946
encoded_state,0.0033490095678209903
MalePctDivorce,0.003270858671475395
assaults,0.0031851173109924743
