Feature,Importance
robberies,0.2857817972098682
NumKidsBornNeverMar,0.14310464330256806
burglaries,0.08351022551045373
assaults,0.022202527982305254
racepctblack,0.01581896708251266
NumUnderPov,0.015329996603132133
PctHousNoPhone,0.010772984068447424
encoded_county,0.00998316512909158
LandArea,0.00835938726429967
autoTheft,0.008175312761386073
pctWInvInc,0.008043551982119972
PctHousOccup,0.0073079153337044945
racePctWhite,0.0073044746309044
PctUsePubTrans,0.007082090869653021
medFamInc,0.007003726549877635
arsons,0.006801132472352815
OtherPerCap,0.006743736721821933
PopDens,0.006686659434830395
HousVacant,0.006282465399620656
MalePctDivorce,0.006017328254250267
