Feature,Importance
larcenies,0.28029217335474105
encoded_state,0.16189074807465229
NumUnderPov,0.15765982141099508
burglaries,0.12675127666817634
assaults,0.02153296327143283
NumKidsBornNeverMar,0.011374277567227427
TotalPctDiv,0.007431487558532294
arsons,0.007025561400095362
PolicReqPerOffic,0.0067880476486008095
HousVacant,0.0060134129478368395
robberies,0.005496903053585649
FemalePctDiv,0.004952012324664044
MalePctDivorce,0.004716847313385409
LandArea,0.004023869799358279
population,0.0034803164576330727
PolicCars,0.0033990148133718743
blackPerCap,0.0033919634754082557
AsianPerCap,0.003330154725971148
pctWFarmSelf,0.0032582851613521414
PctSameState85,0.002968312898905379
