Feature,Importance
autoTheft,0.286521398512134
burglaries,0.242494134558946
NumKidsBornNeverMar,0.20963113499319044
murders,0.021247587773954493
racepctblack,0.01932868447584369
PctKidsBornNeverMar,0.009464879236168476
assaults,0.008826988129099914
racePctWhite,0.008706277635529927
PctUsePubTrans,0.007474884665768272
pctWFarmSelf,0.004938558173514654
PopDens,0.004909110135135639
encoded_state,0.004364479018330511
PctTeen2Par,0.003872392762591132
LandArea,0.0038423777868051992
encoded_county,0.0037715706860536034
larcenies,0.0034162417808721677
PctForeignBorn,0.0033393185259558453
PctKids2Par,0.0030594721297615497
MedRentPctHousInc,0.0028581488390763687
TotalPctDiv,0.002703178264538487
