State,Mean_Target
AK,150.0
AL,101.6923076923077
AR,113.69565217391305
AZ,140.69230769230768
CA,207.26666666666668
CO,120.95238095238095
CT,107.53125
DE,76.0
FL,183.46478873239437
GA,137.80645161290323
IA,78.36842105263158
ID,72.0
IL,85.02857142857142
IN,100.18604651162791
KY,59.8
LA,139.44444444444446
MA,103.67234513274336
MD,103.9090909090909
ME,44.64705882352941
MI,123.85
MN,71.95384615384616
MO,78.975
MS,94.73684210526316
NC,111.0
ND,79.0
NH,74.19047619047619
NJ,97.2279792746114
NM,56.111111111111114
NV,172.33333333333334
NY,79.275
OH,66.47572815533981
OK,94.29411764705883
OR,97.92857142857143
PA,66.02083333333333
RI,76.34782608695652
SC,112.15384615384616
SD,53.888888888888886
TN,81.40625
TX,105.19285714285714
UT,61.56521739130435
VA,90.11538461538461
VT,34.75
WA,150.0
WI,66.36206896551724
WV,78.57142857142857
WY,41.142857142857146
