Feature,Importance
PctKidsBornNeverMar,0.3018545062640049
state,0.11481712308021405
NumKidsBornNeverMar,0.05784669669389645
PctKids2Par,0.04439659806562871
racePctWhite,0.041424313590810315
racepctblack,0.010617947784058791
PctFam2Par,0.008200566096162635
HousVacant,0.008173722966319201
NumUnderPov,0.0075925440924297935
PctPopUnderPov,0.00714336504446612
PctNotSpeakEnglWell,0.006969800068563719
PctBornSameState,0.006914300112843071
PctEmplManu,0.006726223385236789
pctWInvInc,0.006671084651162799
pctWPubAsst,0.006665354293009381
PctYoungKids2Par,0.0064061367909875825
pctWRetire,0.006258506357580246
PctWorkMom,0.006120986441239334
PctHousOccup,0.006070313392008156
countyCode,0.005959799479813528
