Feature,Importance
NumUnderPov,0.1296686788631652
population,0.09900586461261915
numbUrban,0.09887816283910815
encoded_state,0.08138098833591179
NumKidsBornNeverMar,0.03577038922289261
encoded_county,0.01896466208259297
NumInShelters,0.012698460065605219
FemalePctDiv,0.01114539975350549
PctVacantBoarded,0.010398369264854348
PctWOFullPlumb,0.010379883185989895
MalePctDivorce,0.01032466343494461
TotalPctDiv,0.010253098515304636
PctEmplManu,0.008888731982918329
OtherPerCap,0.00888209336075749
NumKindsDrugsSeiz,0.008443628760897699
PctVacMore6Mos,0.007958393807319787
racePctHisp,0.007832235312184323
MedOwnCostPctIncNoMtg,0.007667805334002586
LandArea,0.007616267462344964
pctWRetire,0.007515909208812765
