Feature,Importance
NumKidsBornNeverMar,0.4715982178004117
encoded_state,0.058442856073309256
HousVacant,0.051456597761798215
NumUnderPov,0.041709772650442394
population,0.015026952726690414
encoded_county,0.010497701906983176
numbUrban,0.010018217127730615
PctNotSpeakEnglWell,0.00806025542970839
PctHousOccup,0.006770508033045488
OwnOccQrange,0.006557711047630267
NumStreet,0.006553282242736018
pctWWage,0.006096087940196358
HispPerCap,0.005969992751607775
AsianPerCap,0.00581987184056825
PctSameHouse85,0.005787147909829308
PctWOFullPlumb,0.005731522757784211
MedOwnCostPctInc,0.005608587476057083
racePctWhite,0.005592620554845281
NumImmig,0.005477027287184636
PctEmplProfServ,0.005324573116870026
