Feature,Importance
numbUrban,0.36984305155791636
population,0.08198126918425032
NumImmig,0.06908377823117175
NumKidsBornNeverMar,0.05413002199217046
LemasPctOfficDrugUn,0.04228936844739269
PctPersDenseHous,0.02271244638012939
FemalePctDiv,0.013300955864814288
TotalPctDiv,0.011955936467198764
encoded_state,0.01163657125759018
PctNotSpeakEnglWell,0.011009753390217604
PctKids2Par,0.009707005782104802
PctTeen2Par,0.008631733153928033
racePctWhite,0.007849084230268227
PctSameCity85,0.0076411439854888906
HousVacant,0.007206779510245454
MalePctDivorce,0.0070042656973967705
AsianPerCap,0.0065508322495111924
PctEmplProfServ,0.006052758181967774
PctHousLess3BR,0.005733851941102538
racepctblack,0.005686473158813278
