Feature,Importance
population,0.277819148125276
NumUnderPov,0.18516865249795716
NumKidsBornNeverMar,0.1695591977731816
HousVacant,0.04391762616115438
numbUrban,0.038909708130350246
encoded_state,0.0224540555046217
racePctWhite,0.010128195738233306
PctPersDenseHous,0.009471285612008174
pctWInvInc,0.009128619736031638
FemalePctDiv,0.007990857558950466
TotalPctDiv,0.005802454756738979
PctHousOccup,0.005201160251054092
PctWorkMomYoungKids,0.004789598141526655
LandArea,0.0044796910626659315
whitePerCap,0.004265825623417295
racepctblack,0.0038660284717024545
PctWorkMom,0.0037618417394896324
encoded_county,0.003692802553723878
PctEmplManu,0.0036831260726006
PctEmplProfServ,0.00358446341066898
