Feature,Importance
population,0.5197229408877132
NumUnderPov,0.08975486541376075
numbUrban,0.05039021558173184
NumKidsBornNeverMar,0.021072473270339138
MalePctDivorce,0.014591069196550005
OwnOccHiQuart,0.012094449403554605
blackPerCap,0.011057480342350705
FemalePctDiv,0.008263537159051924
encoded_state,0.008237962334587559
HousVacant,0.007598319558878592
MedRentPctHousInc,0.007233280851503443
LandArea,0.006614429517175832
RentLowQ,0.006289409704560118
PctVacMore6Mos,0.006041379438133045
TotalPctDiv,0.005932646014764027
NumInShelters,0.0052541063300267045
whitePerCap,0.00512178634003085
pctWFarmSelf,0.0051155957483076655
PctWorkMomYoungKids,0.004855230170232869
OwnOccLowQuart,0.0046067664471914115
