Feature,Importance
NumKidsBornNeverMar,0.42429691964242366
NumUnderPov,0.04359496262978017
encoded_county,0.035726542593867164
HousVacant,0.017971274119498826
racepctblack,0.016744136960218644
racePctWhite,0.014097106564235504
encoded_state,0.012214485439809582
LandArea,0.01146655339191383
population,0.009750136695227427
PopDens,0.007211915699872541
NumImmig,0.007071779173430692
FemalePctDiv,0.006981235991574106
PctHousOccup,0.006781550120052261
MedYrHousBuilt,0.006751705327250762
HispPerCap,0.006582555611866563
pctWFarmSelf,0.006427243798778516
MedOwnCostPctInc,0.006369254560292249
AsianPerCap,0.0061166202836124995
TotalPctDiv,0.0060905747036913895
PctVacantBoarded,0.0059033861751487905
