Feature,Importance
PctKids2Par,0.2317084199118327
PctFam2Par,0.22541501105083875
state,0.03839137516546315
countyCode,0.033671562177765214
TotalPctDiv,0.024701459921373896
HousVacant,0.01483948319200474
NumKidsBornNeverMar,0.014269535255164055
PctTeen2Par,0.011588442079228487
NumUnderPov,0.010862746347632497
NumStreet,0.010680895229392928
LandArea,0.009973970912034315
FemalePctDiv,0.009753641390014693
MalePctDivorce,0.009147791312420418
PctPersDenseHous,0.006590785799901707
PctEmplManu,0.0065515694236420756
racepctblack,0.006438423033317613
PctHousOccup,0.0063076842369683825
RentQrange,0.006198341700946237
whitePerCap,0.006099261521472609
racePctWhite,0.006028989136181676
