Feature,Importance
NumUnderPov,0.45681934336605695
encoded_state,0.1571160355618806
HousVacant,0.03607700096633379
NumKidsBornNeverMar,0.032464713082602965
population,0.018045360386577374
numbUrban,0.014301402894222938
MalePctDivorce,0.013821638166646041
PolicReqPerOffic,0.01033326273993272
TotalPctDiv,0.008366295915254483
FemalePctDiv,0.008171109858856239
racepctblack,0.00612652520880134
NumStreet,0.005248608586535636
PolicCars,0.0052014973805858695
NumInShelters,0.005129555001381128
PctWorkMomYoungKids,0.004916756334969722
LandArea,0.004895808143922005
racePctAsian,0.004451551150495943
MedOwnCostPctIncNoMtg,0.004076585102077545
AsianPerCap,0.003854694536839392
PctEmplManu,0.0036007906471530356
