Feature,Importance
NumKidsBornNeverMar,0.5606786946528537
NumImmig,0.03306496606602221
numbUrban,0.023454411311229977
encoded_state,0.015868838255387655
HousVacant,0.01402876259845758
racepctblack,0.011075277095971189
racePctWhite,0.0102145029719933
PctBornSameState,0.009472860380142861
pctWFarmSelf,0.00894620354760687
FemalePctDiv,0.00838871447786721
encoded_county,0.00793562769806982
population,0.0076292835013961
MalePctDivorce,0.00661383297241743
RentLowQ,0.006302534974834448
NumStreet,0.006283730054557615
NumUnderPov,0.006165651560935587
HispPerCap,0.0060571727897359585
PctUsePubTrans,0.005423664760349919
TotalPctDiv,0.005401442337819504
PctHousLess3BR,0.005193963868653949
