Feature,Importance
population,0.10224687842288549
NumUnderPov,0.08787950957635686
NumKidsBornNeverMar,0.08415649926020317
numbUrban,0.06977260018026409
HousVacant,0.04651176637601202
NumInShelters,0.027405455309844055
state_encoded,0.02707963292202656
NumImmig,0.024793437333780487
NumStreet,0.024230719042918833
burglPerPop,0.023052882735206694
PctKidsBornNeverMar,0.020839114567498603
LandArea,0.018318498572490394
LemasPctOfficDrugUn,0.015980737004482444
racePctWhite,0.012187855887912366
county_code_encoded,0.011277189298979657
FemalePctDiv,0.009493122667864883
TotalPctDiv,0.009106189760804068
PctPolicMinor,0.008343329244366504
PolicAveOTWorked,0.007727672333886672
PctPersOwnOccup,0.007298976157065122
