CountyCode,Mean_Target
0.0,9.306709635367625
1.0,5.294117647058823
3.0,4.013333333333334
5.0,6.918918918918919
7.0,7.276265411597196
9.0,4.181513598738667
11.0,8.454545454545455
13.0,8.096727060198715
15.0,5.266666666666667
17.0,4.430000000000001
19.0,2.0
21.0,6.730373388634249
23.0,6.160169491525424
25.0,5.261734028683181
27.0,2.183921209344938
29.0,7.55
31.0,7.614814814814815
33.0,1.75
35.0,4.352941176470588
37.0,7.818181818181818
39.0,6.588235294117647
41.0,12.16
43.0,7.166666666666667
45.0,2.1818181818181817
47.0,3.0
49.0,7.5
53.0,7.522916666666666
55.0,3.6666666666666665
57.0,1.0
59.0,33.0
61.0,6.0
63.0,5.25
65.0,8.5
67.0,6.0
69.0,8.666666666666666
71.0,11.80916030534351
73.0,11.333333333333334
75.0,7.0
77.0,8.8
79.0,6.604519774011299
81.0,13.927195340501791
83.0,2.0
85.0,4.4
87.0,8.333333333333334
89.0,10.743055555555555
91.0,2.2222222222222223
93.0,4.857142857142857
95.0,3.0
97.0,5.666666666666667
99.0,10.1
101.0,14.0
103.0,3.125
105.0,12.0
107.0,1.5
109.0,3.5
111.0,4.0
113.0,13.666666666666666
115.0,8.5
117.0,22.0
119.0,6.714285714285714
121.0,11.0
123.0,6.0
125.0,8.125
127.0,3.0
129.0,3.0
131.0,8.75
133.0,6.363636363636363
135.0,3.0
137.0,7.0
139.0,5.75
141.0,1.6666666666666667
143.0,3.5
145.0,7.25
147.0,9.0
149.0,2.0
151.0,10.5
153.0,8.8
155.0,22.48611111111111
157.0,2.0
161.0,21.333333333333332
163.0,8.851635514018692
165.0,2.0
167.0,0.0
169.0,5.5
173.0,10.944231737854823
215.0,6.882352941176471
510.0,11.5
570.0,1.0
590.0,17.0
630.0,12.0
650.0,4.0
660.0,9.0
670.0,33.0
683.0,6.0
690.0,9.0
730.0,5.0
735.0,2.0
750.0,7.0
775.0,9.0
790.0,2.0
800.0,26.0
820.0,4.5
830.0,1.0
840.0,7.0
