CountyCode,Mean_Target
0.0,94.43124445659474
1.0,44.58302277432712
3.0,40.544813119755915
5.0,50.5945945945946
7.0,45.18421052631579
9.0,56.0
11.0,76.6086956521739
13.0,72.73250688705234
15.0,23.4
17.0,65.46551724137932
19.0,11.9
21.0,50.71875
23.0,78.78571428571429
25.0,50.76
27.0,46.9159779614325
29.0,46.61904761904762
31.0,103.5042735042735
33.0,65.2
35.0,24.085714285714285
37.0,20.181818181818183
39.0,50.125
41.0,85.0
43.0,49.4
45.0,42.829858215179314
47.0,28.0
49.0,74.0
53.0,45.4375
55.0,15.666666666666666
57.0,41.5
59.0,170.5
61.0,23.363636363636363
63.0,85.2
65.0,54.5
67.0,44.0
69.0,54.5
71.0,135.6046511627907
73.0,33.666666666666664
75.0,14.8
77.0,72.9
79.0,13.4
81.0,158.56
83.0,18.0
85.0,24.4
87.0,19.333333333333332
89.0,86.4
91.0,45.666666666666664
93.0,26.142857142857142
95.0,21.75
97.0,57.048780487804876
99.0,145.0
101.0,89.2
103.0,71.0
105.0,37.666666666666664
107.0,20.5
109.0,63.5
111.0,36.0
113.0,74.0
115.0,55.0
117.0,40.0
119.0,53.55555555555556
121.0,93.5
123.0,25.22222222222222
125.0,111.125
127.0,9.0
129.0,9.333333333333334
131.0,14.5
133.0,19.636363636363637
135.0,19.0
137.0,112.5
139.0,38.714285714285715
141.0,28.0
143.0,22.5
145.0,45.75
147.0,57.0
149.0,21.0
151.0,186.66666666666666
153.0,66.68807339449542
155.0,42.0
157.0,11.333333333333334
161.0,218.33333333333334
163.0,77.16129032258064
165.0,20.5
167.0,15.0
169.0,19.0
173.0,3.0
181.0,6.0
187.0,54.25
193.0,45.75
215.0,119.15625
510.0,145.0
550.0,385.0
570.0,18.0
590.0,99.0
630.0,63.0
650.0,129.0
660.0,26.0
670.0,120.0
680.0,351.0
683.0,32.0
690.0,78.0
730.0,151.5
735.0,40.0
750.0,51.0
770.0,305.0
775.0,13.0
790.0,30.0
800.0,304.0
810.0,414.0
820.0,30.5
830.0,5.0
840.0,137.0
