Feature,Importance
NumUnderPov,0.12849301331164878
population,0.10174037461205568
numbUrban,0.09828121904493745
encoded_state,0.08079356169220292
NumKidsBornNeverMar,0.03155048442057469
burglPerPop,0.021832477879936068
encoded_county,0.016775449962799713
NumInShelters,0.012157927002812626
FemalePctDiv,0.01090540510580541
PctVacantBoarded,0.010889727098082691
TotalPctDiv,0.009727230358884321
PctWOFullPlumb,0.009491050296121885
MalePctDivorce,0.009376200338111684
NumKindsDrugsSeiz,0.00891805065691721
PctEmplManu,0.00861252006965316
LandArea,0.008344928276450034
OtherPerCap,0.008254511508579868
PctVacMore6Mos,0.007983451421530384
racePctHisp,0.007854677883251532
PctSameCity85,0.007690011462641736
