Feature,Importance
NumKidsBornNeverMar,0.46500170722797063
encoded_state,0.05019629809010203
HousVacant,0.04963691402165236
burglPerPop,0.04052659529202014
NumUnderPov,0.03622562315995327
population,0.01478044358140291
numbUrban,0.013105639179040326
encoded_county,0.008753364638309674
pctWWage,0.00660942736698838
PctNotSpeakEnglWell,0.006342535288564582
OwnOccQrange,0.006310645011151448
PctSameHouse85,0.006168888303897136
LandArea,0.005552607852733582
racePctWhite,0.005543881824752455
NumStreet,0.005442621539052436
MedOwnCostPctInc,0.0054289863623586156
MedRentPctHousInc,0.005292547888963994
PctHousOccup,0.005225244063046959
PctWOFullPlumb,0.0052038933445529845
NumImmig,0.005180251084101187
