Feature,Importance
numbUrban,0.36974304037987415
population,0.08247458407246569
NumImmig,0.0690809636168221
NumKidsBornNeverMar,0.0541497278165444
LemasPctOfficDrugUn,0.04196160710823262
PctPersDenseHous,0.023056332790518445
FemalePctDiv,0.01328377426560066
encoded_state,0.011646938592959514
TotalPctDiv,0.011480592593593663
PctNotSpeakEnglWell,0.011035609909844764
PctKids2Par,0.009921508033112212
PctTeen2Par,0.008479976942837702
racePctWhite,0.007907480269083896
PctSameCity85,0.0075848586224365
MalePctDivorce,0.007372866078310477
HousVacant,0.007219831818185479
AsianPerCap,0.006483839100071706
PctEmplProfServ,0.0061311868792921186
pctWFarmSelf,0.005634317617211321
racepctblack,0.005628458445848383
