Feature,Importance
population,0.3353896291380998
burglPerPop,0.301248651080439
NumUnderPov,0.13282278326811162
NumKidsBornNeverMar,0.10432898952416958
numbUrban,0.05494387256505347
HousVacant,0.01269898274918814
PctWorkMomYoungKids,0.00244940234595327
PctEmplManu,0.002171533848204817
racePctWhite,0.00177048507281626
PctWorkMom,0.001587601153321082
pctWFarmSelf,0.001402303863031273
PctHousOccup,0.0013954199440364354
PctSameCity85,0.0012958971539100252
PctHousNoPhone,0.001002343860008874
MedOwnCostPctInc,0.0009666140990172558
PctSameState85,0.0008654293190156211
agePct12t29,0.0008376753937189811
PctSameHouse85,0.0007949694588349242
PctUnemployed,0.0007762182903273921
PctWOFullPlumb,0.0007744579194369514
