Feature,Importance
population,0.5239337358002655
NumUnderPov,0.0797178772087717
numbUrban,0.05029982579952074
burglPerPop,0.036008993800587655
NumKidsBornNeverMar,0.018703953759259734
MalePctDivorce,0.0126107740229072
OwnOccHiQuart,0.011927070729824
blackPerCap,0.010871897362671738
MedRentPctHousInc,0.007738318530601399
LandArea,0.0066765196414287015
FemalePctDiv,0.00645059891649021
pctWFarmSelf,0.006067334011979969
HousVacant,0.005392903381428756
PctVacMore6Mos,0.005313967522186568
NumInShelters,0.005192806059803902
encoded_state,0.005070784131206283
OwnOccLowQuart,0.00494710550970671
PctWorkMomYoungKids,0.004684647436588573
TotalPctDiv,0.004629228287791362
whitePerCap,0.004354650731576377
