Feature,Importance
NumKidsBornNeverMar,0.4239090761977345
NumUnderPov,0.04380556841572811
encoded_county,0.03850892915044588
HousVacant,0.017079716445562037
racepctblack,0.01651955223625079
racePctWhite,0.014125793848347624
LandArea,0.011879692538809028
encoded_state,0.01127302352315641
population,0.00962532256043153
NumImmig,0.007279224905589388
PopDens,0.006760440041533611
MedOwnCostPctInc,0.006666717113514616
PctHousOccup,0.00656209765556505
pctWFarmSelf,0.006489450672067653
MalePctDivorce,0.006372192145612236
HispPerCap,0.0063244699686006095
TotalPctDiv,0.006250122128152213
FemalePctDiv,0.006172223314433858
PctVacMore6Mos,0.005997829417400718
MedYrHousBuilt,0.005918561023863251
