Feature,Importance
NumUnderPov,0.45660829765872
encoded_state,0.15708708212872624
HousVacant,0.03591180409825494
NumKidsBornNeverMar,0.03257745692694923
population,0.018844997451718554
MalePctDivorce,0.014103508279135363
numbUrban,0.013848045753005802
PolicReqPerOffic,0.010350121305125488
FemalePctDiv,0.008448211834032588
TotalPctDiv,0.008036979244929627
racepctblack,0.006078549788184338
PolicCars,0.005119741949887034
NumInShelters,0.0049862839971840465
NumStreet,0.00497646430851364
LandArea,0.0049533589953483816
PctWorkMomYoungKids,0.004923044230084397
racePctAsian,0.004524673471239417
AsianPerCap,0.004021948709201273
MedOwnCostPctIncNoMtg,0.0039851149304248575
blackPerCap,0.0038746328453912126
