Feature,Importance
NumKidsBornNeverMar,0.5495347359664408
burglPerPop,0.06212958013287928
NumImmig,0.034871479985785936
numbUrban,0.0285993575782004
HousVacant,0.012613021576779347
racepctblack,0.008984128262365157
PctBornSameState,0.00854761744675061
population,0.008245156159449743
encoded_state,0.007960816113941855
racePctWhite,0.007269646112296185
pctWFarmSelf,0.007161648790810346
RentLowQ,0.007014509888211314
PctUsePubTrans,0.006005112373545206
PopDens,0.005955390437039772
encoded_county,0.005930550945671353
HispPerCap,0.0057724382040005955
NumStreet,0.005357270031289439
PctHousLess3BR,0.005313347476650471
FemalePctDiv,0.005150048020998039
pctUrban,0.0046973659200304505
