CountyCode,Mean_Target
0.0,94.43124445659474
1.0,44.58302277432712
3.0,40.95207729468599
5.0,51.02777777777778
7.0,45.18421052631579
9.0,56.0
11.0,76.6086956521739
13.0,68.49922520661157
15.0,23.4
17.0,65.5
19.0,11.9
21.0,50.71875
23.0,78.14285714285714
25.0,47.888888888888886
27.0,46.9159779614325
29.0,46.61904761904762
31.0,103.5042735042735
33.0,68.2
35.0,23.17142857142857
37.0,20.181818181818183
39.0,50.125
41.0,82.25
43.0,57.5
45.0,40.67737003058104
47.0,28.0
49.0,78.38461538461539
53.0,45.4375
55.0,15.666666666666666
57.0,41.5
59.0,170.5
61.0,26.22222222222222
63.0,85.2
65.0,54.5
67.0,44.0
69.0,54.5
71.0,148.4718309859155
73.0,33.666666666666664
75.0,14.8
77.0,78.66666666666667
79.0,13.5
81.0,144.91071428571428
83.0,18.0
85.0,12.0
87.0,17.5
89.0,73.33333333333333
91.0,45.666666666666664
93.0,24.714285714285715
95.0,27.4
97.0,57.048780487804876
99.0,132.45454545454547
101.0,89.2
103.0,71.0
105.0,37.666666666666664
107.0,20.5
109.0,63.5
111.0,36.0
113.0,44.125
115.0,55.0
117.0,40.0
119.0,69.66666666666667
121.0,93.5
123.0,17.125
125.0,111.125
127.0,9.0
129.0,9.333333333333334
131.0,14.5
133.0,19.636363636363637
135.0,19.0
137.0,112.5
139.0,38.714285714285715
141.0,28.0
143.0,41.0
145.0,40.6
147.0,54.6
149.0,21.0
151.0,149.5
153.0,69.35474006116208
155.0,30.666666666666668
157.0,10.5
161.0,218.33333333333334
163.0,77.16129032258064
165.0,20.5
167.0,15.0
169.0,19.0
173.0,2.0
181.0,45.25
187.0,167.0
215.0,119.15625
510.0,167.72727272727272
550.0,385.0
570.0,18.0
590.0,53.0
630.0,36.5
650.0,251.0
660.0,26.0
670.0,120.0
680.0,181.0
683.0,32.0
690.0,78.0
730.0,293.0
735.0,40.0
740.0,17.0
750.0,51.0
770.0,157.5
775.0,18.0
790.0,30.0
800.0,304.0
810.0,414.0
820.0,50.0
830.0,5.0
840.0,137.0
