State,Mean_Target
AK,1158.5
AL,875.2631578947369
AR,1064.590909090909
AZ,1281.2307692307693
CA,1221.0
CO,1454.0
CT,755.4477611940298
DE,1786.0
FL,1337.4507042253522
GA,1204.8709677419354
IA,914.6470588235294
ID,1209.142857142857
IL,929.2285714285714
IN,1011.7045454545455
KY,787.64
LA,1392.4705882352941
MA,574.3580601092896
MD,1007.8181818181819
ME,779.0
MI,1010.0297029702971
MN,852.109375
MO,741.3589743589744
MS,1152.3157894736842
NC,1386.7692307692307
ND,1222.375
NH,695.1428571428571
NJ,605.1658536585365
NM,1182.5555555555557
NV,1619.6666666666667
NY,892.275
OH,710.8932038834952
OK,894.3030303030303
OR,1157.3214285714287
PA,558.2857142857143
RI,599.44
SC,946.3913043478261
SD,1080.2222222222222
TN,947.375
TX,1002.1914855072463
UT,1004.0
VA,939.5
VT,985.75
WA,1417.1176470588234
WI,1006.5263157894736
WV,701.3846153846154
WY,875.5714285714286
