State,Mean_Target
AK,41.5
AL,29.942857142857143
AR,38.36363636363637
AZ,36.53333333333333
CA,55.37696335078534
CO,27.142857142857142
CT,19.796875
DE,78.0
FL,52.483870967741936
GA,50.06896551724138
IA,18.055555555555557
ID,7.571428571428571
IL,20.735294117647058
IN,24.88372093023256
KY,19.416666666666668
LA,56.411764705882355
MA,13.105263157894736
MD,49.7
ME,12.647058823529411
MI,32.04123711340206
MN,11.2
MO,32.292682926829265
MS,47.1578947368421
NC,51.73529411764706
ND,5.375
NH,11.523809523809524
NJ,23.48205128205128
NM,19.22222222222222
NV,70.66666666666667
NY,23.085714285714285
OH,19.43
OK,22.852941176470587
OR,29.0
PA,13.869565217391305
RI,14.6
SC,39.333333333333336
SD,9.333333333333334
TN,23.0
TX,29.500349925640798
UT,12.0
VA,32.25
VT,3.5
WA,35.166666666666664
WI,13.087719298245615
WV,21.76923076923077
WY,5.142857142857143
