Feature,Importance
burglaries,0.26271927238918746
larcenies,0.1083930032595987
encoded_state,0.07353118911584813
rapes,0.03486948883388998
nonViolPerPop,0.013823919837244006
encoded_county,0.012927573065655427
population,0.012758901571482986
NumInShelters,0.009244018750151179
NumKindsDrugsSeiz,0.008792401016036462
PctVacantBoarded,0.008470071530511892
PctEmplManu,0.00820342677468793
racePctHisp,0.007607815658323412
PctVacMore6Mos,0.0072383621694791294
numbUrban,0.006922987036007615
PctPolicAsian,0.006629281367022145
PctSameCity85,0.0065455958270733096
PctHousLess3BR,0.006218224051674264
rapesPerPop,0.0060143328337675436
PctWOFullPlumb,0.005953346367131502
RacialMatchCommPol,0.005912276847457417
