Feature,Importance
burglaries,0.41144428977710173
robberies,0.10359619883319184
NumKidsBornNeverMar,0.09647435274521556
encoded_state,0.032468743193554125
rapes,0.016264910045837213
HousVacant,0.013609424668118422
NumUnderPov,0.011130860074862019
arsons,0.007830638671132628
LandArea,0.007698941380245282
autoTheft,0.007243286017866551
racePctWhite,0.007241861847008924
PctNotSpeakEnglWell,0.006330682428697095
NumInShelters,0.006052718736096295
larcenies,0.006008122306943211
encoded_county,0.0049985168156773604
pctWInvInc,0.004851566971194078
PctHousOccup,0.0044523947311445764
pctWPubAsst,0.004407534313846122
pctWWage,0.00439884551776787
population,0.00417053538946938
