Feature,Importance
robberies,0.618858974622936
NumImmig,0.06408320285143485
numbUrban,0.03648785414692398
burglaries,0.030867182896532876
larcenies,0.015043084077272123
population,0.008963397653655706
PctSameHouse85,0.006681901391274398
PctEmplProfServ,0.0046400989521886505
PctSameCity85,0.003746675843838697
HousVacant,0.0036415350329779142
PctSameState85,0.0035833314218388207
TotalPctDiv,0.003471812186243716
encoded_county,0.0033917791545996986
PctUsePubTrans,0.003367214741042753
NumKindsDrugsSeiz,0.0032874104523966693
PctForeignBorn,0.003268516849086215
FemalePctDiv,0.0030793896794978513
PctBornSameState,0.003059795280918857
blackPerCap,0.0030241573311742057
PctPolicBlack,0.0028954387832411384
