Feature,Importance
larcenies,0.45072254899633146
robberies,0.22388559181526035
burglPerPop,0.13020338179139057
population,0.0533939791863659
HousVacant,0.015027723076594734
numbUrban,0.013506733827875489
assaults,0.01205986852803601
NumUnderPov,0.007329449037785475
autoTheft,0.004359955399312719
NumKidsBornNeverMar,0.004155897489127702
LandArea,0.0035520698976404612
PctPersDenseHous,0.0023361779402865414
murders,0.002062229141572219
PctHousNoPhone,0.0018841445828469056
MedRentPctHousInc,0.0017324146228824787
encoded_county,0.001637126621370032
larcPerPop,0.0014700069856067055
arsons,0.0013660228062184906
PctWorkMomYoungKids,0.001331975139479848
MedOwnCostPctInc,0.0012933534053732084
