Feature,Importance
burglaries,0.5913923227047844
larcPerPop,0.16429302556693076
population,0.11603485557091571
numbUrban,0.04186715948814553
rapes,0.006582965124875158
nonViolPerPop,0.005466558724512439
burglPerPop,0.003406118425157793
LandArea,0.00274547624683871
autoTheft,0.002255579761896587
autoTheftPerPop,0.0021494622245482563
NumUnderPov,0.0018965974637449039
MedRentPctHousInc,0.0018378863932371897
robbbPerPop,0.0018325187975251032
HousVacant,0.0016915533560083527
assaults,0.0012512261475459048
robberies,0.0010819389920245373
PctHousNoPhone,0.0010027299449565444
PersPerRentOccHous,0.0009684118124215455
NumInShelters,0.0009632272948948942
indianPerCap,0.0008597859657283914
