Feature,Importance
murdPerPop,0.6876439687830862
burglaries,0.07624661120034495
robberies,0.06297333658320843
population,0.039183906934618554
NumKidsBornNeverMar,0.037670497127800295
numbUrban,0.015108022158219327
NumUnderPov,0.006632318746880123
autoTheft,0.0035803572552592254
LandArea,0.002714046680179531
arsons,0.002371660330317305
assaults,0.002201601254369509
larcPerPop,0.002164806911378483
larcenies,0.0020132007311110343
burglPerPop,0.001909204595528089
HousVacant,0.0018857895486139788
PolicPerPop,0.001163854418352004
MedYrHousBuilt,0.0008826111946279213
PctHousLess3BR,0.0008686719747131355
PctForeignBorn,0.0008295287172089048
PctEmplProfServ,0.0008287270961695178
