Feature,Importance
larcenies,0.2786551600184903
encoded_state,0.15990602328276268
NumUnderPov,0.15645336239111962
burglaries,0.12572451980649219
assaults,0.01803978061262584
ViolentCrimesPerPop,0.01513306918306606
arsonsPerPop,0.012311016021070806
NumKidsBornNeverMar,0.010739315524562953
TotalPctDiv,0.006718605982251336
arsons,0.0058314394410543735
HousVacant,0.005074805482854681
PolicReqPerOffic,0.0048023578435789395
MalePctDivorce,0.004176797318714408
FemalePctDiv,0.003829608353277225
assaultPerPop,0.0038127236592984393
population,0.0037453633476447206
LandArea,0.003450144287401847
robberies,0.003272341300547152
AsianPerCap,0.002794848114025108
MedRentPctHousInc,0.0026586618887356945
