Feature,Importance
robbbPerPop,0.43774065708608306
burglaries,0.1725123559714959
autoTheft,0.159366914399564
NumKidsBornNeverMar,0.07697070655548727
population,0.04398062839788693
numbUrban,0.025433451869566377
murders,0.004960542687959537
larcenies,0.004583353691330177
PctUsePubTrans,0.0027793553593839465
assaults,0.0023568280522737618
NumImmig,0.0021674506780187527
LandArea,0.002107371926747991
rapes,0.0018906129131291832
NumUnderPov,0.0018396010945063714
MedOwnCostPctInc,0.0017998739907244606
autoTheftPerPop,0.0015358774544832546
ViolentCrimesPerPop,0.001475796961187195
racePctWhite,0.0013806160281502782
burglPerPop,0.0011856709656174838
indianPerCap,0.0010269958044774753
